Breed,AgeInMonths,Size,Sterilized,Health,Temperament,GoodWithChildren,GoodWithOtherPets,PhotoCount,DescriptionLength,AdoptionSpeed
Labrador,31,Small,Yes,Healthy,"Playful, Aggressive, Friendly",Yes,No,2,464,1
Bulldog,108,Tiny,No,Healthy,"Aggressive, Anxious, Playful",Yes,No,5,186,0
Bulldog,91,XL,No,Healthy,"Independent, Shy, Calm",No,No,1,365,2
Husky,19,Small,No,Healthy,"Playful, Friendly, Anxious",No,No,5,470,3
Golden Retriever,45,XL,No,Healthy,"Independent, Affectionate, Anxious",Yes,Yes,4,261,3
Golden Retriever,92,Large,Yes,Healthy,"Calm, Anxious, Friendly",Yes,No,5,77,2
Mixed,20,Small,No,Serious Injury,"Anxious, Aggressive, Friendly",Yes,Yes,3,475,1
Mixed,61,Small,No,Healthy,"Affectionate, Anxious, Calm",Yes,Yes,0,442,3
Bulldog,1,Tiny,No,Healthy,"Playful, Anxious, Affectionate",Yes,No,2,480,3
Husky,92,Small,No,Healthy,"Independent, Calm, Playful",Yes,Yes,5,210,3
Poodle,113,Large,Yes,Healthy,"Aggressive, Affectionate, Shy",Yes,No,0,331,0
Golden Retriever,33,Large,No,Healthy,"Independent, Friendly, Aggressive",Yes,No,5,136,1
Australian Shepherd,6,Medium,Yes,Healthy,"Anxious, Playful, Friendly",No,Yes,1,63,2
Labrador,45,Medium,No,Healthy,"Aggressive, Calm, Shy",Yes,No,4,336,2
Australian Shepherd,47,XL,No,Healthy,"Affectionate, Independent, Anxious",Yes,Yes,4,99,3
Beagle,118,Small,Yes,Minor Injury,"Affectionate, Shy, Friendly",No,No,4,222,1
Husky,101,Tiny,Yes,Serious Injury,"Playful, Anxious, Affectionate",Yes,No,3,246,0
Bulldog,19,Tiny,Yes,Healthy,"Affectionate, Calm, Playful",Yes,Yes,3,460,4
Australian Shepherd,18,Large,Yes,Healthy,"Anxious, Playful, Affectionate",Yes,Yes,0,324,3
Mixed,14,Tiny,No,Minor Injury,"Calm, Playful, Anxious",Yes,Yes,0,392,3
Husky,54,Medium,No,Healthy,"Anxious, Playful, Calm",No,Yes,5,278,2
Bulldog,16,Small,No,Healthy,"Shy, Independent, Anxious",Yes,Yes,0,478,3
Golden Retriever,12,Large,No,Healthy,"Playful, Independent, Shy",Yes,No,1,243,1
Beagle,16,XL,Yes,Minor Injury,"Playful, Shy, Anxious",No,Yes,5,479,3
Australian Shepherd,24,Medium,Yes,Serious Injury,"Friendly, Affectionate, Anxious",Yes,Yes,3,392,2
Beagle,8,Tiny,Yes,Healthy,"Anxious, Playful, Calm",Yes,Yes,1,367,4
Golden Retriever,36,XL,No,Healthy,"Calm, Anxious, Independent",Yes,Yes,1,155,2
Beagle,58,Tiny,Yes,Healthy,"Shy, Calm, Friendly",Yes,No,3,197,2
Golden Retriever,28,Medium,Yes,Healthy,"Affectionate, Aggressive, Shy",Yes,No,3,376,2
Golden Retriever,41,Small,No,Healthy,"Friendly, Anxious, Shy",Yes,Yes,3,211,3
German Shepherd,27,Large,Yes,Minor Injury,"Independent, Calm, Playful",Yes,No,5,466,3
Australian Shepherd,17,Medium,No,Healthy,"Shy, Affectionate, Aggressive",Yes,Yes,0,436,2
Golden Retriever,117,Tiny,Yes,Healthy,"Shy, Friendly, Anxious",Yes,No,3,480,2
Labrador,92,Medium,No,Healthy,"Shy, Independent, Friendly",No,No,4,416,3
Husky,46,Small,No,Healthy,"Friendly, Calm, Anxious",Yes,Yes,2,272,2
Golden Retriever,6,Medium,No,Healthy,"Shy, Calm, Anxious",No,Yes,1,390,3
Australian Shepherd,69,XL,Yes,Healthy,"Calm, Affectionate, Playful",No,Yes,0,469,2
Golden Retriever,10,Medium,No,Healthy,"Calm, Affectionate, Anxious",Yes,Yes,5,261,4
Australian Shepherd,109,Medium,Yes,Serious Injury,"Independent, Calm, Affectionate",Yes,Yes,4,138,0
Bulldog,33,Medium,No,Healthy,"Anxious, Calm, Playful",No,Yes,5,84,2
Husky,18,Small,Yes,Serious Injury,"Affectionate, Independent, Shy",Yes,Yes,0,286,0
Poodle,85,Large,No,Healthy,"Friendly, Shy, Calm",Yes,Yes,1,82,2
Golden Retriever,89,Tiny,No,Serious Injury,"Affectionate, Friendly, Aggressive",Yes,No,5,334,0
Golden Retriever,27,XL,Yes,Minor Injury,"Independent, Affectionate, Friendly",Yes,No,0,480,2
Poodle,33,Small,No,Healthy,"Playful, Friendly, Independent",Yes,Yes,1,124,2
Beagle,99,Large,Yes,Healthy,"Friendly, Shy, Affectionate",Yes,Yes,0,424,2
Bulldog,112,Large,No,Healthy,"Calm, Affectionate, Playful",Yes,Yes,5,495,3
Poodle,81,Tiny,Yes,Healthy,"Independent, Aggressive, Shy",Yes,Yes,4,370,3
Poodle,5,Large,No,Healthy,"Friendly, Playful, Independent",Yes,No,5,278,3
Poodle,53,Small,Yes,Healthy,"Calm, Affectionate, Friendly",Yes,Yes,4,72,3
Golden Retriever,37,Small,Yes,Healthy,"Anxious, Aggressive, Playful",Yes,No,1,477,1
Australian Shepherd,83,XL,No,Healthy,"Aggressive, Shy, Calm",Yes,No,0,104,0
Poodle,78,XL,Yes,Minor Injury,"Calm, Affectionate, Anxious",Yes,Yes,0,385,3
Australian Shepherd,1,XL,No,Healthy,"Anxious, Friendly, Playful",Yes,No,2,192,2
German Shepherd,77,Medium,Yes,Healthy,"Independent, Playful, Shy",Yes,Yes,3,465,4
German Shepherd,65,XL,No,Healthy,"Calm, Friendly, Aggressive",Yes,Yes,0,307,2
Husky,34,Small,Yes,Healthy,"Calm, Shy, Affectionate",No,Yes,3,114,2
Beagle,72,Tiny,No,Healthy,"Anxious, Friendly, Affectionate",Yes,Yes,1,269,2
Australian Shepherd,34,Large,No,Healthy,"Shy, Friendly, Playful",Yes,Yes,5,137,3
Labrador,3,Medium,Yes,Healthy,"Calm, Anxious, Aggressive",Yes,No,2,325,2
Australian Shepherd,12,XL,Yes,Healthy,"Friendly, Anxious, Affectionate",No,Yes,0,73,1
Labrador,108,Large,Yes,Serious Injury,"Shy, Independent, Anxious",Yes,Yes,4,497,1
Labrador,94,Large,No,Healthy,"Shy, Aggressive, Playful",Yes,Yes,2,332,2
Beagle,17,XL,No,Healthy,"Calm, Anxious, Shy",No,No,4,360,3
Beagle,14,XL,No,Healthy,"Calm, Affectionate, Independent",Yes,Yes,1,94,2
Husky,51,Tiny,Yes,Serious Injury,"Anxious, Playful, Calm",No,Yes,5,211,0
German Shepherd,98,Small,Yes,Minor Injury,"Aggressive, Anxious, Independent",Yes,Yes,5,325,2
Mixed,98,Large,No,Healthy,"Shy, Aggressive, Friendly",Yes,Yes,1,305,1
Beagle,79,Large,No,Healthy,"Playful, Anxious, Independent",Yes,No,2,454,2
Beagle,63,Tiny,No,Healthy,"Anxious, Affectionate, Shy",Yes,Yes,1,327,3
Mixed,38,Medium,Yes,Healthy,"Affectionate, Anxious, Calm",No,No,0,491,2
Labrador,79,Tiny,No,Healthy,"Calm, Aggressive, Anxious",Yes,No,3,49,1
Bulldog,119,Small,No,Healthy,"Friendly, Playful, Independent",Yes,Yes,1,70,1
German Shepherd,81,Tiny,No,Healthy,"Aggressive, Affectionate, Independent",Yes,Yes,4,304,3
Bulldog,4,Large,Yes,Healthy,"Aggressive, Friendly, Independent",Yes,Yes,1,203,2
Beagle,17,Tiny,No,Healthy,"Affectionate, Playful, Shy",Yes,Yes,1,292,2
Poodle,84,Tiny,No,Healthy,"Friendly, Shy, Aggressive",Yes,No,4,53,1
German Shepherd,6,Small,Yes,Healthy,"Playful, Friendly, Independent",Yes,Yes,4,469,4
Bulldog,77,Small,No,Healthy,"Affectionate, Anxious, Shy",Yes,Yes,5,254,3
Poodle,43,XL,No,Healthy,"Anxious, Calm, Shy",Yes,Yes,2,390,3
Bulldog,111,XL,No,Minor Injury,"Playful, Anxious, Independent",No,Yes,0,170,0
Husky,55,Small,No,Healthy,"Playful, Anxious, Shy",Yes,Yes,2,393,3
Australian Shepherd,16,XL,Yes,Healthy,"Playful, Calm, Anxious",Yes,No,3,379,3
Golden Retriever,4,Medium,Yes,Minor Injury,"Shy, Playful, Friendly",Yes,Yes,0,214,3
Labrador,96,Tiny,No,Healthy,"Anxious, Aggressive, Independent",Yes,Yes,2,174,1
Husky,93,XL,Yes,Healthy,"Friendly, Playful, Affectionate",No,No,1,80,1
German Shepherd,51,XL,No,Healthy,"Shy, Calm, Independent",Yes,No,2,296,1
Bulldog,5,Tiny,Yes,Healthy,"Anxious, Playful, Aggressive",Yes,Yes,1,111,2
German Shepherd,42,Tiny,Yes,Minor Injury,"Playful, Shy, Aggressive",No,Yes,4,41,1
Mixed,21,Small,No,Healthy,"Friendly, Independent, Playful",Yes,Yes,5,20,3
Golden Retriever,5,Medium,Yes,Healthy,"Shy, Aggressive, Anxious",Yes,Yes,0,31,2
German Shepherd,90,Medium,Yes,Healthy,"Shy, Friendly, Independent",Yes,Yes,5,53,3
Husky,49,Tiny,Yes,Minor Injury,"Playful, Shy, Affectionate",Yes,Yes,5,237,3
German Shepherd,45,Small,Yes,Healthy,"Anxious, Shy, Calm",Yes,No,2,92,1
Beagle,26,Medium,Yes,Healthy,"Shy, Friendly, Independent",No,Yes,0,66,1
Husky,86,Tiny,No,Healthy,"Affectionate, Anxious, Calm",Yes,Yes,5,126,3
Poodle,63,XL,No,Healthy,"Aggressive, Calm, Friendly",Yes,Yes,4,356,3
Bulldog,26,Large,No,Healthy,"Affectionate, Anxious, Shy",Yes,Yes,3,276,3
Bulldog,8,Small,Yes,Serious Injury,"Playful, Shy, Friendly",Yes,No,0,374,1
Labrador,52,Medium,Yes,Minor Injury,"Anxious, Affectionate, Independent",Yes,Yes,5,33,3
Husky,90,Small,No,Healthy,"Playful, Shy, Independent",Yes,Yes,3,490,4
Bulldog,78,XL,No,Minor Injury,"Independent, Aggressive, Affectionate",Yes,Yes,1,384,2
German Shepherd,26,Large,Yes,Healthy,"Playful, Aggressive, Independent",No,Yes,5,206,1
Mixed,56,Medium,No,Minor Injury,"Independent, Calm, Aggressive",Yes,Yes,2,26,1
Bulldog,3,Small,Yes,Healthy,"Calm, Aggressive, Anxious",Yes,Yes,5,382,4
Beagle,111,Small,No,Healthy,"Friendly, Anxious, Playful",Yes,No,3,293,1
Mixed,38,XL,Yes,Healthy,"Independent, Shy, Playful",Yes,No,2,390,2
Golden Retriever,15,XL,Yes,Healthy,"Friendly, Anxious, Shy",Yes,Yes,0,138,2
Australian Shepherd,101,XL,Yes,Healthy,"Shy, Anxious, Affectionate",Yes,Yes,3,221,2
Bulldog,39,Small,Yes,Minor Injury,"Independent, Affectionate, Anxious",No,Yes,0,292,1
Mixed,103,Tiny,Yes,Serious Injury,"Aggressive, Independent, Affectionate",No,Yes,5,493,0
Beagle,44,Tiny,Yes,Serious Injury,"Playful, Shy, Friendly",Yes,Yes,0,164,0
Australian Shepherd,13,Tiny,No,Healthy,"Calm, Affectionate, Shy",No,Yes,3,44,2
Australian Shepherd,68,Small,Yes,Healthy,"Aggressive, Independent, Calm",Yes,No,1,86,0
Australian Shepherd,105,Tiny,Yes,Healthy,"Calm, Aggressive, Shy",Yes,No,4,165,0
Bulldog,111,XL,Yes,Serious Injury,"Independent, Aggressive, Friendly",Yes,Yes,3,130,0
Husky,86,Medium,No,Healthy,"Playful, Calm, Friendly",Yes,No,1,130,1
Mixed,8,Tiny,No,Healthy,"Aggressive, Shy, Playful",Yes,Yes,0,255,2
Husky,83,Tiny,Yes,Healthy,"Anxious, Calm, Shy",Yes,Yes,1,444,3
Beagle,101,XL,Yes,Minor Injury,"Independent, Friendly, Anxious",Yes,No,5,199,1
Australian Shepherd,26,XL,No,Healthy,"Playful, Affectionate, Anxious",Yes,Yes,1,462,3
Husky,56,Large,Yes,Healthy,"Aggressive, Anxious, Shy",Yes,Yes,2,384,2
Beagle,70,Tiny,Yes,Healthy,"Calm, Anxious, Playful",No,No,4,396,3
Poodle,33,Medium,No,Healthy,"Independent, Calm, Anxious",Yes,Yes,4,169,3
Golden Retriever,21,Large,No,Healthy,"Independent, Shy, Affectionate",Yes,Yes,5,89,3
Mixed,119,Medium,Yes,Healthy,"Playful, Independent, Friendly",Yes,No,3,369,2
Labrador,75,Small,No,Serious Injury,"Aggressive, Independent, Friendly",Yes,Yes,5,337,1
Beagle,94,Tiny,Yes,Healthy,"Independent, Shy, Affectionate",No,Yes,0,266,1
Beagle,3,Large,Yes,Healthy,"Aggressive, Independent, Playful",Yes,No,2,50,1
Labrador,40,Tiny,No,Healthy,"Anxious, Shy, Aggressive",Yes,Yes,4,55,2
Husky,24,Large,Yes,Minor Injury,"Aggressive, Shy, Affectionate",Yes,No,5,341,2
Mixed,84,Tiny,No,Healthy,"Shy, Playful, Calm",Yes,Yes,3,94,3
Poodle,4,XL,Yes,Healthy,"Affectionate, Independent, Playful",Yes,Yes,5,137,4
Golden Retriever,113,Small,Yes,Healthy,"Aggressive, Shy, Affectionate",Yes,Yes,5,454,2
Husky,62,Medium,No,Healthy,"Shy, Playful, Aggressive",Yes,No,0,213,0
German Shepherd,79,Tiny,No,Healthy,"Shy, Calm, Independent",Yes,Yes,2,411,3
Poodle,26,Tiny,Yes,Healthy,"Friendly, Playful, Aggressive",No,Yes,2,192,0
Golden Retriever,44,Large,No,Minor Injury,"Friendly, Playful, Independent",Yes,Yes,4,345,4
Golden Retriever,26,Medium,Yes,Healthy,"Friendly, Aggressive, Anxious",Yes,No,5,343,2
Labrador,19,Small,Yes,Healthy,"Independent, Anxious, Friendly",Yes,No,3,244,2
Bulldog,20,XL,Yes,Minor Injury,"Anxious, Friendly, Independent",No,Yes,0,159,1
Bulldog,47,Large,No,Healthy,"Playful, Friendly, Anxious",No,No,0,109,1
German Shepherd,14,Tiny,No,Healthy,"Calm, Shy, Anxious",Yes,Yes,5,312,4
Golden Retriever,11,Small,Yes,Minor Injury,"Friendly, Calm, Independent",No,Yes,3,352,4
Golden Retriever,107,XL,No,Healthy,"Friendly, Affectionate, Aggressive",No,Yes,2,180,0
Husky,6,Large,Yes,Healthy,"Calm, Friendly, Anxious",Yes,No,1,29,2
Poodle,5,Tiny,Yes,Minor Injury,"Independent, Aggressive, Calm",Yes,Yes,1,191,2
Australian Shepherd,2,Tiny,Yes,Healthy,"Calm, Friendly, Anxious",Yes,Yes,4,187,4
Golden Retriever,2,Medium,Yes,Healthy,"Affectionate, Calm, Anxious",Yes,No,3,340,4
Mixed,63,Medium,No,Minor Injury,"Shy, Anxious, Affectionate",Yes,No,4,348,3
Australian Shepherd,17,Medium,No,Minor Injury,"Shy, Affectionate, Aggressive",Yes,No,0,478,1
Australian Shepherd,15,XL,No,Minor Injury,"Calm, Playful, Affectionate",Yes,Yes,5,438,4
Husky,94,XL,Yes,Healthy,"Aggressive, Anxious, Playful",Yes,Yes,0,88,1
Beagle,62,Small,No,Healthy,"Affectionate, Friendly, Aggressive",Yes,Yes,3,255,2
Labrador,50,Small,No,Healthy,"Affectionate, Shy, Aggressive",Yes,Yes,5,392,3
German Shepherd,75,Medium,Yes,Healthy,"Anxious, Playful, Shy",No,No,0,437,2
Bulldog,76,Small,Yes,Healthy,"Friendly, Independent, Aggressive",Yes,No,2,54,0
Labrador,1,Large,Yes,Healthy,"Playful, Shy, Calm",Yes,No,5,79,3
Mixed,64,Large,No,Minor Injury,"Affectionate, Calm, Shy",Yes,Yes,4,347,4
Golden Retriever,11,XL,Yes,Healthy,"Independent, Friendly, Affectionate",Yes,Yes,0,248,3
Poodle,14,Large,Yes,Healthy,"Friendly, Independent, Calm",No,Yes,3,305,3
Mixed,35,Small,Yes,Healthy,"Aggressive, Playful, Friendly",Yes,Yes,4,184,2
German Shepherd,5,Tiny,No,Serious Injury,"Friendly, Aggressive, Anxious",Yes,Yes,2,398,1
Bulldog,78,Medium,Yes,Healthy,"Affectionate, Independent, Calm",Yes,No,1,81,1
Husky,4,Small,No,Healthy,"Calm, Independent, Affectionate",Yes,Yes,0,256,3
German Shepherd,42,Medium,Yes,Healthy,"Aggressive, Independent, Calm",Yes,No,0,421,1
Beagle,40,Medium,No,Healthy,"Shy, Aggressive, Playful",No,Yes,5,307,2
Poodle,51,Large,Yes,Healthy,"Anxious, Friendly, Calm",Yes,No,4,441,3
German Shepherd,97,Small,Yes,Healthy,"Affectionate, Shy, Calm",No,Yes,0,172,0
Poodle,17,Large,No,Healthy,"Calm, Affectionate, Independent",Yes,Yes,0,469,3
Bulldog,78,Small,Yes,Healthy,"Shy, Affectionate, Friendly",Yes,Yes,4,123,3
Golden Retriever,104,Large,No,Healthy,"Aggressive, Independent, Calm",No,No,2,58,0
Husky,51,Small,Yes,Healthy,"Aggressive, Shy, Independent",No,Yes,5,153,1
Poodle,67,Large,No,Healthy,"Playful, Calm, Anxious",Yes,Yes,2,475,3
Husky,42,Medium,No,Minor Injury,"Calm, Affectionate, Aggressive",Yes,Yes,3,34,2
Golden Retriever,111,Tiny,Yes,Healthy,"Calm, Shy, Independent",Yes,Yes,4,308,3
Poodle,116,Medium,Yes,Healthy,"Friendly, Anxious, Affectionate",Yes,Yes,5,250,2
Labrador,27,Tiny,Yes,Healthy,"Shy, Aggressive, Anxious",Yes,Yes,3,176,2
Australian Shepherd,38,Small,Yes,Healthy,"Playful, Calm, Aggressive",Yes,Yes,0,116,1
Mixed,101,XL,Yes,Healthy,"Shy, Friendly, Independent",Yes,Yes,2,458,2
Poodle,33,Large,Yes,Healthy,"Friendly, Anxious, Affectionate",No,Yes,5,215,2
Golden Retriever,86,Medium,Yes,Healthy,"Affectionate, Shy, Independent",No,Yes,1,29,1
Labrador,5,Tiny,Yes,Serious Injury,"Affectionate, Shy, Playful",Yes,Yes,2,349,2
Poodle,97,Medium,Yes,Healthy,"Friendly, Calm, Aggressive",Yes,No,5,313,1
Labrador,13,Medium,No,Minor Injury,"Independent, Aggressive, Affectionate",Yes,No,3,384,2
Labrador,88,Tiny,Yes,Healthy,"Calm, Affectionate, Anxious",No,No,3,203,2
Mixed,15,Tiny,No,Minor Injury,"Calm, Playful, Aggressive",Yes,Yes,4,155,2
Golden Retriever,5,Large,No,Healthy,"Calm, Playful, Shy",Yes,Yes,4,66,4
German Shepherd,68,Tiny,No,Serious Injury,"Affectionate, Anxious, Friendly",Yes,Yes,3,192,1
Golden Retriever,2,Medium,Yes,Minor Injury,"Calm, Aggressive, Anxious",Yes,Yes,2,114,2
Labrador,115,Tiny,No,Healthy,"Playful, Independent, Anxious",Yes,Yes,2,439,2
Bulldog,36,Medium,Yes,Healthy,"Aggressive, Affectionate, Calm",Yes,Yes,1,318,2
German Shepherd,27,XL,Yes,Healthy,"Calm, Friendly, Aggressive",No,No,4,167,1
Poodle,11,Large,No,Healthy,"Friendly, Playful, Affectionate",Yes,Yes,5,349,4
Golden Retriever,104,Small,Yes,Healthy,"Affectionate, Playful, Aggressive",Yes,Yes,5,153,1
Australian Shepherd,72,Tiny,Yes,Healthy,"Playful, Friendly, Anxious",Yes,Yes,1,321,3
Mixed,107,XL,Yes,Healthy,"Affectionate, Calm, Anxious",No,No,3,237,1
Australian Shepherd,13,Medium,No,Minor Injury,"Independent, Affectionate, Aggressive",Yes,No,5,229,1
Bulldog,89,Tiny,No,Healthy,"Friendly, Affectionate, Anxious",Yes,Yes,0,130,2
German Shepherd,104,Large,Yes,Minor Injury,"Anxious, Playful, Calm",Yes,Yes,3,190,2
Golden Retriever,76,Small,No,Minor Injury,"Aggressive, Independent, Calm",Yes,Yes,3,375,3
Poodle,112,Large,No,Healthy,"Calm, Aggressive, Playful",Yes,Yes,3,152,1
Golden Retriever,37,XL,No,Serious Injury,"Calm, Independent, Friendly",Yes,No,1,111,0
Poodle,31,Large,No,Healthy,"Anxious, Aggressive, Friendly",No,No,1,412,1
Mixed,118,Large,No,Serious Injury,"Affectionate, Anxious, Shy",Yes,Yes,2,48,0
Husky,78,Medium,No,Minor Injury,"Aggressive, Shy, Anxious",Yes,Yes,0,233,1
Beagle,11,Small,Yes,Healthy,"Independent, Affectionate, Playful",Yes,Yes,0,321,4
Golden Retriever,101,XL,No,Minor Injury,"Anxious, Affectionate, Playful",Yes,Yes,4,365,3
German Shepherd,110,Tiny,Yes,Healthy,"Calm, Affectionate, Independent",Yes,No,3,201,1
Mixed,87,Small,Yes,Healthy,"Affectionate, Playful, Friendly",No,Yes,0,20,1
Bulldog,63,XL,No,Healthy,"Friendly, Independent, Anxious",Yes,Yes,5,74,3
Golden Retriever,115,Medium,Yes,Healthy,"Friendly, Shy, Affectionate",No,No,4,450,2
Australian Shepherd,73,Small,No,Minor Injury,"Aggressive, Anxious, Independent",No,Yes,4,156,1
German Shepherd,74,Tiny,Yes,Serious Injury,"Shy, Aggressive, Playful",Yes,Yes,3,332,1
German Shepherd,117,Small,No,Healthy,"Affectionate, Independent, Shy",Yes,No,1,444,1
Labrador,35,XL,No,Healthy,"Independent, Playful, Affectionate",Yes,Yes,3,44,3
German Shepherd,90,XL,Yes,Minor Injury,"Calm, Aggressive, Friendly",Yes,Yes,2,313,2
Bulldog,2,Small,No,Healthy,"Friendly, Shy, Affectionate",Yes,No,1,494,3
Labrador,34,Tiny,No,Healthy,"Aggressive, Playful, Independent",No,Yes,2,36,0
Poodle,43,Large,No,Healthy,"Friendly, Playful, Affectionate",No,Yes,2,383,2
Husky,51,Large,No,Healthy,"Aggressive, Calm, Friendly",Yes,Yes,5,171,2
Husky,25,XL,Yes,Healthy,"Aggressive, Independent, Anxious",Yes,No,3,217,1
Golden Retriever,117,Tiny,Yes,Healthy,"Anxious, Independent, Playful",Yes,Yes,0,196,1
Australian Shepherd,29,Medium,Yes,Healthy,"Playful, Shy, Calm",Yes,Yes,2,169,2
Bulldog,26,Medium,No,Healthy,"Anxious, Aggressive, Calm",Yes,Yes,3,389,3
Husky,85,Tiny,Yes,Minor Injury,"Playful, Independent, Affectionate",Yes,Yes,0,474,3
Mixed,81,Medium,Yes,Healthy,"Affectionate, Aggressive, Anxious",No,Yes,3,380,2
German Shepherd,49,XL,Yes,Healthy,"Anxious, Affectionate, Friendly",Yes,Yes,3,137,3
Mixed,86,Medium,Yes,Healthy,"Calm, Playful, Anxious",Yes,Yes,3,82,3
Husky,61,XL,Yes,Healthy,"Independent, Shy, Aggressive",No,No,0,346,1
German Shepherd,1,Small,Yes,Healthy,"Friendly, Shy, Playful",Yes,No,4,497,4
Labrador,87,XL,No,Healthy,"Shy, Calm, Independent",Yes,Yes,2,398,3
Australian Shepherd,56,Medium,No,Healthy,"Aggressive, Playful, Calm",Yes,No,2,337,1
Beagle,32,Large,No,Healthy,"Friendly, Independent, Affectionate",Yes,Yes,5,304,4
Beagle,49,Large,Yes,Healthy,"Aggressive, Anxious, Shy",Yes,Yes,4,496,3
Mixed,30,Medium,Yes,Healthy,"Independent, Aggressive, Anxious",Yes,No,2,37,0
Australian Shepherd,1,XL,Yes,Healthy,"Shy, Anxious, Calm",No,Yes,5,390,4
Husky,47,Small,No,Minor Injury,"Shy, Independent, Playful",No,No,1,213,1
Labrador,118,XL,No,Minor Injury,"Aggressive, Playful, Friendly",Yes,No,3,132,0
Husky,114,Large,Yes,Healthy,"Aggressive, Anxious, Friendly",Yes,Yes,5,185,1
Australian Shepherd,51,XL,Yes,Healthy,"Playful, Independent, Shy",No,No,3,404,3
German Shepherd,8,XL,Yes,Healthy,"Calm, Friendly, Anxious",Yes,No,4,74,3
Australian Shepherd,103,Medium,Yes,Healthy,"Affectionate, Shy, Playful",Yes,Yes,2,307,2
Bulldog,10,XL,No,Healthy,"Affectionate, Playful, Anxious",No,Yes,1,486,3
Husky,110,Medium,No,Healthy,"Calm, Aggressive, Independent",Yes,Yes,1,399,1
Poodle,97,XL,No,Healthy,"Aggressive, Friendly, Affectionate",Yes,No,3,307,1
Australian Shepherd,50,Large,Yes,Healthy,"Calm, Aggressive, Shy",Yes,Yes,4,27,2
Mixed,65,Small,Yes,Healthy,"Independent, Friendly, Affectionate",No,Yes,0,266,1
Golden Retriever,67,Medium,Yes,Healthy,"Affectionate, Aggressive, Shy",Yes,Yes,2,274,1
Golden Retriever,72,Tiny,Yes,Healthy,"Calm, Shy, Independent",Yes,No,5,268,2
German Shepherd,111,Tiny,Yes,Healthy,"Calm, Friendly, Aggressive",Yes,Yes,4,86,1
Labrador,51,Medium,Yes,Healthy,"Affectionate, Anxious, Aggressive",Yes,No,0,111,0
