Breed,AgeInMonths,Size,Sterilized,Health,Temperament,GoodWithChildren,GoodWithOtherPets,PhotoCount,DescriptionLength,AdoptionSpeed
German Shepherd,111,XL,Yes,Healthy,"Friendly, Shy, Independent",Yes,No,1,310,1
Poodle,96,Small,No,Healthy,"Shy, Playful, Affectionate",Yes,No,5,307,3
Golden Retriever,46,Small,Yes,Healthy,"Playful, Anxious, Friendly",Yes,Yes,2,419,3
Australian Shepherd,68,Small,Yes,Minor Injury,"Anxious, Friendly, Aggressive",Yes,Yes,3,184,2
Husky,54,Large,Yes,Serious Injury,"Affectionate, Anxious, Aggressive",Yes,No,4,417,0
Poodle,95,Large,Yes,Healthy,"Aggressive, Anxious, Playful",Yes,No,1,26,0
Golden Retriever,74,Medium,Yes,Healthy,"Playful, Friendly, Anxious",Yes,Yes,0,170,2
Bulldog,85,Medium,No,Healthy,"Calm, Aggressive, Independent",Yes,Yes,2,131,1
Husky,19,Large,No,Healthy,"Anxious, Affectionate, Shy",Yes,No,3,304,3
Australian Shepherd,60,Small,No,Healthy,"Affectionate, Calm, Anxious",Yes,No,1,21,1
Golden Retriever,1,Small,Yes,Minor Injury,"Affectionate, Anxious, Independent",No,Yes,4,423,4
Husky,11,Large,No,Minor Injury,"Playful, Shy, Aggressive",No,Yes,1,405,2
Poodle,67,Small,No,Serious Injury,"Anxious, Playful, Affectionate",Yes,Yes,3,39,1
Labrador,5,Large,No,Healthy,"Friendly, Independent, Affectionate",Yes,No,4,441,4
German Shepherd,94,Large,No,Healthy,"Friendly, Shy, Playful",Yes,Yes,0,245,2
Bulldog,53,XL,Yes,Healthy,"Independent, Shy, Affectionate",Yes,Yes,3,374,4
Mixed,116,Large,No,Healthy,"Anxious, Friendly, Shy",Yes,Yes,1,361,2
Poodle,108,Tiny,No,Minor Injury,"Independent, Calm, Anxious",Yes,No,0,221,0
Australian Shepherd,30,Large,Yes,Healthy,"Anxious, Friendly, Playful",Yes,Yes,2,234,2
Beagle,96,Tiny,No,Minor Injury,"Friendly, Independent, Aggressive",No,Yes,0,389,1
Bulldog,115,Medium,No,Healthy,"Playful, Aggressive, Affectionate",Yes,Yes,0,33,0
Bulldog,9,Small,No,Healthy,"Independent, Friendly, Anxious",Yes,No,1,256,2
Bulldog,25,Medium,Yes,Healthy,"Independent, Playful, Friendly",No,Yes,0,265,1
Beagle,22,Small,No,Healthy,"Aggressive, Affectionate, Independent",Yes,Yes,2,23,1
Mixed,26,Small,Yes,Healthy,"Aggressive, Anxious, Friendly",Yes,No,1,48,0
Poodle,109,Tiny,No,Healthy,"Playful, Anxious, Aggressive",Yes,Yes,1,234,0
Mixed,37,Large,Yes,Serious Injury,"Friendly, Aggressive, Shy",Yes,Yes,2,345,0
Husky,18,Large,No,Serious Injury,"Playful, Friendly, Calm",Yes,Yes,4,61,1
German Shepherd,100,Large,Yes,Healthy,"Affectionate, Calm, Independent",Yes,Yes,0,441,2
Golden Retriever,34,XL,Yes,Healthy,"Friendly, Shy, Affectionate",Yes,Yes,0,184,2
Beagle,25,Medium,Yes,Healthy,"Aggressive, Affectionate, Independent",Yes,Yes,5,397,3
Golden Retriever,76,Medium,No,Healthy,"Calm, Friendly, Independent",Yes,Yes,4,381,4
Mixed,86,Small,No,Minor Injury,"Aggressive, Shy, Independent",Yes,No,4,46,1
German Shepherd,57,Large,No,Healthy,"Independent, Anxious, Aggressive",Yes,Yes,5,238,2
Labrador,40,Large,Yes,Healthy,"Playful, Shy, Calm",Yes,Yes,1,287,2
Australian Shepherd,109,Medium,No,Healthy,"Friendly, Calm, Playful",Yes,Yes,0,328,2
Bulldog,71,XL,Yes,Serious Injury,"Friendly, Calm, Anxious",Yes,Yes,1,192,0
Australian Shepherd,17,Tiny,No,Healthy,"Affectionate, Independent, Shy",No,Yes,1,488,2
Beagle,92,Large,No,Minor Injury,"Shy, Playful, Affectionate",Yes,Yes,5,141,3
Mixed,46,Medium,No,Healthy,"Affectionate, Anxious, Calm",Yes,Yes,1,329,3
Australian Shepherd,107,Large,Yes,Healthy,"Playful, Shy, Independent",Yes,Yes,0,326,2
Poodle,53,Small,Yes,Healthy,"Shy, Playful, Aggressive",Yes,Yes,3,390,3
Golden Retriever,26,XL,Yes,Healthy,"Calm, Playful, Independent",No,Yes,4,168,2
Bulldog,11,Small,No,Healthy,"Calm, Shy, Friendly",No,Yes,2,183,2
Beagle,113,Medium,No,Healthy,"Friendly, Affectionate, Aggressive",Yes,No,2,314,0
Husky,104,Small,No,Healthy,"Anxious, Friendly, Independent",Yes,Yes,2,329,2
Beagle,98,Large,Yes,Minor Injury,"Affectionate, Calm, Anxious",Yes,Yes,5,425,3
Labrador,69,Tiny,Yes,Healthy,"Affectionate, Friendly, Playful",Yes,Yes,0,269,2
Australian Shepherd,36,Medium,Yes,Minor Injury,"Friendly, Affectionate, Shy",Yes,Yes,3,486,4
Bulldog,99,Large,No,Healthy,"Calm, Independent, Anxious",Yes,No,3,356,2
Bulldog,62,Medium,Yes,Healthy,"Aggressive, Friendly, Anxious",No,Yes,2,384,1
Mixed,107,XL,No,Healthy,"Shy, Affectionate, Anxious",Yes,Yes,1,220,1
Australian Shepherd,26,Medium,No,Healthy,"Playful, Shy, Affectionate",No,Yes,1,92,1
Poodle,73,Medium,No,Healthy,"Affectionate, Independent, Playful",Yes,Yes,0,148,2
Australian Shepherd,89,Small,No,Healthy,"Affectionate, Calm, Aggressive",Yes,Yes,4,446,3
Poodle,104,Small,Yes,Healthy,"Anxious, Playful, Friendly",Yes,Yes,1,44,1
Mixed,39,Large,Yes,Healthy,"Aggressive, Affectionate, Anxious",Yes,No,2,150,0
Bulldog,114,Large,Yes,Healthy,"Aggressive, Affectionate, Anxious",Yes,Yes,4,127,1
Beagle,44,Small,Yes,Minor Injury,"Shy, Calm, Aggressive",Yes,Yes,2,497,2
Labrador,102,Small,Yes,Healthy,"Anxious, Calm, Playful",Yes,Yes,1,31,1
Poodle,19,Large,Yes,Healthy,"Playful, Friendly, Independent",Yes,Yes,4,63,3
Beagle,59,Tiny,Yes,Healthy,"Shy, Independent, Friendly",Yes,No,2,324,2
Labrador,61,Tiny,No,Healthy,"Shy, Affectionate, Aggressive",Yes,No,0,349,1
Beagle,57,Large,Yes,Healthy,"Anxious, Calm, Independent",Yes,No,0,322,2
Australian Shepherd,12,Large,No,Healthy,"Affectionate, Shy, Friendly",Yes,Yes,5,99,3
Australian Shepherd,88,Medium,Yes,Healthy,"Calm, Aggressive, Affectionate",No,Yes,2,283,0
Australian Shepherd,95,Tiny,No,Minor Injury,"Playful, Friendly, Calm",Yes,Yes,4,100,3
Poodle,87,XL,No,Healthy,"Affectionate, Anxious, Friendly",Yes,Yes,4,393,4
Golden Retriever,80,Medium,Yes,Healthy,"Shy, Playful, Affectionate",Yes,Yes,5,219,3
Poodle,25,Large,Yes,Healthy,"Anxious, Independent, Aggressive",Yes,Yes,1,108,1
Mixed,12,Tiny,No,Healthy,"Shy, Playful, Affectionate",Yes,No,2,429,2
Poodle,105,Large,Yes,Healthy,"Anxious, Affectionate, Calm",Yes,Yes,4,45,2
Mixed,47,XL,Yes,Minor Injury,"Friendly, Playful, Shy",No,Yes,1,35,1
Bulldog,71,XL,No,Healthy,"Aggressive, Friendly, Independent",No,Yes,0,426,1
Husky,26,Large,Yes,Minor Injury,"Independent, Affectionate, Aggressive",Yes,Yes,4,105,2
Poodle,7,Small,Yes,Healthy,"Independent, Affectionate, Shy",Yes,Yes,5,354,4
Beagle,117,Medium,No,Minor Injury,"Anxious, Affectionate, Independent",Yes,Yes,0,390,2
Bulldog,48,XL,Yes,Healthy,"Friendly, Calm, Aggressive",Yes,Yes,1,334,2
Labrador,87,Medium,Yes,Healthy,"Friendly, Playful, Calm",No,Yes,4,101,2
Beagle,95,Tiny,No,Serious Injury,"Calm, Playful, Anxious",Yes,Yes,5,391,2
Mixed,39,Medium,Yes,Healthy,"Friendly, Playful, Affectionate",Yes,No,2,421,2
Poodle,59,Medium,No,Healthy,"Shy, Friendly, Independent",Yes,Yes,1,122,2
Golden Retriever,17,Tiny,Yes,Serious Injury,"Independent, Calm, Aggressive",Yes,No,5,178,0
Bulldog,24,XL,Yes,Healthy,"Anxious, Playful, Calm",Yes,Yes,2,127,2
German Shepherd,60,Medium,Yes,Healthy,"Anxious, Aggressive, Friendly",Yes,Yes,4,117,2
Golden Retriever,3,Medium,No,Healthy,"Independent, Playful, Aggressive",Yes,Yes,4,190,3
Golden Retriever,40,Medium,Yes,Healthy,"Anxious, Affectionate, Independent",Yes,Yes,1,202,2
Husky,87,Small,No,Healthy,"Aggressive, Friendly, Anxious",No,Yes,3,58,1
Bulldog,15,Tiny,No,Minor Injury,"Independent, Affectionate, Friendly",Yes,Yes,0,23,2
Golden Retriever,93,Medium,No,Healthy,"Independent, Friendly, Affectionate",Yes,Yes,5,428,4
Beagle,13,XL,No,Healthy,"Affectionate, Playful, Shy",Yes,Yes,1,180,2
Poodle,16,Tiny,Yes,Healthy,"Calm, Anxious, Affectionate",Yes,Yes,4,445,4
Poodle,108,Medium,No,Healthy,"Independent, Shy, Affectionate",Yes,Yes,5,469,3
Husky,55,Medium,No,Healthy,"Calm, Independent, Anxious",Yes,Yes,2,189,2
Husky,34,Tiny,No,Healthy,"Friendly, Shy, Independent",Yes,Yes,5,270,3
Labrador,119,Tiny,No,Healthy,"Independent, Anxious, Playful",Yes,No,4,160,1
Golden Retriever,18,Small,No,Healthy,"Shy, Calm, Aggressive",No,Yes,2,398,1
German Shepherd,39,Small,No,Healthy,"Playful, Affectionate, Shy",No,Yes,5,48,2
Australian Shepherd,62,Large,Yes,Healthy,"Independent, Calm, Affectionate",Yes,No,0,496,2
Husky,62,Medium,Yes,Healthy,"Anxious, Affectionate, Playful",No,No,4,255,2
Bulldog,57,Small,No,Minor Injury,"Calm, Playful, Independent",Yes,No,3,258,2
Bulldog,10,Large,Yes,Healthy,"Anxious, Calm, Friendly",Yes,Yes,5,428,4
Bulldog,103,Small,Yes,Minor Injury,"Friendly, Independent, Anxious",No,No,3,408,2
Golden Retriever,65,Small,Yes,Healthy,"Shy, Affectionate, Calm",No,Yes,5,196,2
Labrador,3,Medium,No,Serious Injury,"Friendly, Aggressive, Independent",No,No,4,161,0
Mixed,30,Small,Yes,Healthy,"Calm, Playful, Friendly",Yes,Yes,1,343,3
Bulldog,18,XL,Yes,Healthy,"Playful, Calm, Affectionate",Yes,Yes,5,312,4
Husky,25,XL,No,Minor Injury,"Independent, Shy, Aggressive",Yes,Yes,0,456,2
Bulldog,110,Small,Yes,Healthy,"Playful, Calm, Aggressive",Yes,Yes,0,418,1
Bulldog,49,Small,Yes,Healthy,"Affectionate, Anxious, Friendly",Yes,Yes,0,363,3
Australian Shepherd,68,Small,No,Healthy,"Playful, Friendly, Independent",No,Yes,3,206,2
Golden Retriever,37,XL,Yes,Healthy,"Affectionate, Aggressive, Playful",No,Yes,4,446,2
Husky,70,Large,Yes,Healthy,"Playful, Shy, Calm",Yes,No,5,363,3
Mixed,11,Large,Yes,Healthy,"Playful, Independent, Friendly",No,Yes,5,352,4
Australian Shepherd,98,Tiny,Yes,Healthy,"Calm, Aggressive, Anxious",Yes,Yes,0,218,0
Australian Shepherd,52,XL,Yes,Minor Injury,"Shy, Calm, Anxious",Yes,No,3,78,2
German Shepherd,72,Tiny,Yes,Healthy,"Affectionate, Independent, Calm",Yes,Yes,3,368,4
Husky,63,XL,Yes,Healthy,"Anxious, Playful, Shy",No,Yes,5,392,3
German Shepherd,115,Small,Yes,Healthy,"Playful, Aggressive, Calm",Yes,No,4,385,1
Australian Shepherd,74,Medium,Yes,Healthy,"Calm, Shy, Playful",Yes,Yes,2,245,2
Australian Shepherd,57,Large,No,Healthy,"Playful, Friendly, Aggressive",Yes,Yes,1,444,2
Australian Shepherd,113,Large,No,Healthy,"Playful, Shy, Friendly",Yes,Yes,1,278,1
Bulldog,6,Tiny,Yes,Healthy,"Independent, Playful, Shy",No,Yes,4,280,3
Mixed,54,Medium,Yes,Healthy,"Anxious, Shy, Affectionate",Yes,Yes,0,28,2
Husky,99,Small,No,Minor Injury,"Independent, Playful, Anxious",Yes,Yes,3,397,3
Golden Retriever,113,Tiny,No,Minor Injury,"Shy, Calm, Aggressive",Yes,Yes,4,398,2
Mixed,106,Medium,No,Healthy,"Aggressive, Friendly, Playful",Yes,Yes,2,197,0
Husky,82,Tiny,No,Minor Injury,"Friendly, Aggressive, Affectionate",No,Yes,5,164,1
Beagle,88,Small,No,Healthy,"Affectionate, Aggressive, Shy",No,Yes,2,179,0
Mixed,99,Small,Yes,Healthy,"Affectionate, Independent, Playful",Yes,Yes,5,288,2
Golden Retriever,111,Large,Yes,Healthy,"Aggressive, Playful, Independent",Yes,Yes,0,348,1
Poodle,68,Medium,No,Healthy,"Independent, Anxious, Playful",Yes,Yes,5,376,4
Golden Retriever,98,XL,Yes,Minor Injury,"Aggressive, Calm, Anxious",No,Yes,2,124,0
Australian Shepherd,56,Tiny,Yes,Healthy,"Affectionate, Anxious, Friendly",No,Yes,2,142,1
Golden Retriever,92,Tiny,No,Healthy,"Independent, Friendly, Anxious",Yes,Yes,4,156,3
Beagle,67,Medium,Yes,Serious Injury,"Friendly, Anxious, Playful",Yes,Yes,0,245,0
Husky,76,Small,No,Healthy,"Shy, Anxious, Calm",Yes,Yes,1,28,2
Labrador,79,Medium,No,Healthy,"Aggressive, Calm, Affectionate",No,Yes,0,280,0
Husky,11,Medium,Yes,Healthy,"Playful, Anxious, Shy",No,Yes,2,245,2
Labrador,88,Large,Yes,Healthy,"Affectionate, Independent, Friendly",Yes,Yes,3,482,4
Poodle,38,XL,Yes,Healthy,"Playful, Aggressive, Anxious",Yes,Yes,2,408,2
Labrador,48,Medium,Yes,Healthy,"Shy, Calm, Aggressive",No,Yes,1,421,1
Mixed,70,Tiny,No,Healthy,"Aggressive, Calm, Shy",Yes,Yes,4,335,3
Beagle,48,Large,Yes,Healthy,"Calm, Affectionate, Playful",Yes,Yes,4,303,4
Husky,69,Tiny,Yes,Healthy,"Independent, Calm, Shy",No,No,4,100,2
Bulldog,114,Small,Yes,Healthy,"Independent, Friendly, Aggressive",Yes,Yes,4,243,1
Labrador,62,Tiny,No,Healthy,"Anxious, Aggressive, Shy",Yes,No,4,134,1
Australian Shepherd,58,XL,No,Healthy,"Aggressive, Independent, Anxious",No,Yes,2,75,0
Australian Shepherd,40,XL,Yes,Healthy,"Affectionate, Playful, Aggressive",Yes,Yes,1,59,1
Australian Shepherd,91,Large,Yes,Serious Injury,"Calm, Anxious, Friendly",Yes,Yes,4,256,1
German Shepherd,33,Medium,No,Healthy,"Playful, Affectionate, Aggressive",Yes,Yes,5,235,2
German Shepherd,19,Medium,No,Healthy,"Calm, Friendly, Playful",Yes,Yes,3,372,4
Poodle,59,Medium,Yes,Minor Injury,"Affectionate, Aggressive, Friendly",Yes,Yes,2,323,2
Husky,41,Small,No,Healthy,"Independent, Shy, Affectionate",Yes,No,4,382,3
Golden Retriever,45,XL,No,Healthy,"Aggressive, Shy, Independent",Yes,Yes,0,200,1
Australian Shepherd,42,Tiny,No,Healthy,"Shy, Anxious, Aggressive",Yes,No,3,210,1
Poodle,27,XL,Yes,Healthy,"Anxious, Calm, Aggressive",Yes,Yes,5,207,2
Bulldog,7,Small,Yes,Minor Injury,"Calm, Aggressive, Friendly",Yes,Yes,4,254,3
Australian Shepherd,45,Small,Yes,Healthy,"Independent, Calm, Friendly",Yes,Yes,1,268,2
Golden Retriever,115,Medium,Yes,Healthy,"Anxious, Affectionate, Shy",No,Yes,1,413,1
Husky,32,Tiny,Yes,Minor Injury,"Independent, Playful, Calm",No,Yes,2,456,2
Golden Retriever,30,Medium,No,Healthy,"Anxious, Friendly, Shy",Yes,Yes,1,375,3
Bulldog,2,XL,No,Minor Injury,"Independent, Anxious, Aggressive",Yes,No,5,96,2
German Shepherd,93,Small,Yes,Healthy,"Playful, Shy, Independent",No,Yes,3,314,3
German Shepherd,66,Tiny,Yes,Healthy,"Anxious, Affectionate, Aggressive",No,Yes,4,65,1
Golden Retriever,27,XL,Yes,Healthy,"Anxious, Friendly, Aggressive",Yes,Yes,0,252,1
Golden Retriever,17,XL,Yes,Healthy,"Aggressive, Independent, Friendly",Yes,No,1,207,0
Beagle,64,Tiny,Yes,Healthy,"Independent, Playful, Friendly",Yes,Yes,4,182,3
German Shepherd,112,XL,No,Healthy,"Shy, Friendly, Anxious",Yes,Yes,5,486,3
Poodle,30,XL,No,Healthy,"Independent, Friendly, Playful",Yes,Yes,1,252,2
Australian Shepherd,96,XL,No,Healthy,"Friendly, Calm, Shy",Yes,No,1,338,2
Mixed,28,XL,No,Healthy,"Affectionate, Friendly, Shy",Yes,Yes,3,354,4
Mixed,94,XL,Yes,Healthy,"Shy, Affectionate, Friendly",Yes,No,4,496,3
Mixed,22,Small,No,Healthy,"Friendly, Playful, Independent",Yes,Yes,3,423,4
German Shepherd,96,Large,No,Minor Injury,"Friendly, Anxious, Independent",Yes,Yes,3,261,3
Husky,68,Tiny,No,Serious Injury,"Calm, Friendly, Shy",No,No,2,211,0
Golden Retriever,17,Large,Yes,Healthy,"Calm, Shy, Friendly",Yes,Yes,3,425,4
Mixed,17,Tiny,Yes,Healthy,"Anxious, Aggressive, Calm",Yes,No,1,393,1
Husky,65,Small,No,Healthy,"Anxious, Aggressive, Calm",Yes,No,5,493,2
Labrador,82,Medium,No,Healthy,"Independent, Friendly, Affectionate",No,Yes,1,289,1
Husky,64,Medium,No,Healthy,"Friendly, Calm, Anxious",Yes,Yes,4,223,3
Golden Retriever,36,Large,Yes,Minor Injury,"Aggressive, Friendly, Calm",Yes,No,2,246,0
Beagle,52,XL,Yes,Healthy,"Shy, Playful, Aggressive",Yes,Yes,4,479,3
Australian Shepherd,7,Medium,Yes,Minor Injury,"Friendly, Shy, Playful",Yes,Yes,4,414,4
Bulldog,33,XL,Yes,Minor Injury,"Shy, Playful, Friendly",Yes,Yes,5,386,4
German Shepherd,79,Tiny,Yes,Healthy,"Affectionate, Independent, Playful",Yes,No,2,478,2
Mixed,58,Large,No,Healthy,"Shy, Calm, Playful",Yes,Yes,1,449,3
Labrador,98,Medium,No,Healthy,"Shy, Aggressive, Affectionate",Yes,Yes,4,23,1
Australian Shepherd,81,Tiny,Yes,Healthy,"Anxious, Shy, Friendly",Yes,No,2,416,2
Mixed,105,Tiny,Yes,Healthy,"Friendly, Anxious, Aggressive",Yes,Yes,4,176,1
Labrador,75,Tiny,No,Healthy,"Independent, Aggressive, Friendly",Yes,Yes,3,307,3
Australian Shepherd,2,Large,No,Healthy,"Shy, Friendly, Affectionate",Yes,No,5,103,3
Australian Shepherd,22,Tiny,No,Healthy,"Friendly, Aggressive, Playful",Yes,No,2,46,0
Poodle,67,Medium,No,Healthy,"Affectionate, Anxious, Calm",Yes,Yes,0,401,3
Labrador,108,Large,Yes,Healthy,"Anxious, Playful, Independent",Yes,Yes,3,496,3
Australian Shepherd,21,Small,Yes,Healthy,"Playful, Independent, Friendly",Yes,Yes,4,462,4
Husky,84,Medium,No,Healthy,"Affectionate, Playful, Anxious",Yes,Yes,5,166,3
Labrador,57,Large,Yes,Healthy,"Affectionate, Independent, Friendly",Yes,Yes,4,406,4
Poodle,1,Tiny,Yes,Healthy,"Playful, Aggressive, Friendly",Yes,Yes,1,399,3
German Shepherd,38,Tiny,Yes,Healthy,"Friendly, Anxious, Playful",Yes,Yes,1,464,3
Poodle,35,Tiny,Yes,Healthy,"Aggressive, Playful, Shy",Yes,No,0,300,0
Golden Retriever,24,Medium,Yes,Serious Injury,"Calm, Affectionate, Shy",Yes,Yes,3,293,1
Beagle,15,Tiny,Yes,Healthy,"Anxious, Shy, Independent",Yes,Yes,3,227,3
Bulldog,27,XL,Yes,Healthy,"Anxious, Affectionate, Shy",Yes,Yes,3,449,4
Labrador,89,Tiny,Yes,Serious Injury,"Friendly, Aggressive, Independent",No,No,0,112,0
German Shepherd,53,Small,Yes,Healthy,"Affectionate, Aggressive, Shy",No,Yes,2,193,0
Labrador,50,XL,Yes,Minor Injury,"Shy, Independent, Calm",Yes,Yes,3,218,3
Bulldog,3,Small,Yes,Serious Injury,"Shy, Friendly, Calm",No,No,4,467,2
Husky,44,Small,No,Minor Injury,"Aggressive, Calm, Playful",Yes,No,4,43,1
Australian Shepherd,60,Large,Yes,Healthy,"Playful, Affectionate, Independent",Yes,Yes,1,406,3
Mixed,20,Medium,No,Healthy,"Playful, Friendly, Shy",Yes,Yes,5,34,3
Husky,25,Tiny,Yes,Minor Injury,"Affectionate, Friendly, Anxious",Yes,Yes,5,225,3
Beagle,71,Small,Yes,Healthy,"Shy, Affectionate, Independent",Yes,Yes,0,401,3
Bulldog,108,Tiny,No,Healthy,"Playful, Aggressive, Shy",Yes,Yes,3,247,1
German Shepherd,9,Large,No,Healthy,"Aggressive, Independent, Calm",No,Yes,5,451,3
German Shepherd,60,Tiny,Yes,Healthy,"Shy, Anxious, Aggressive",Yes,Yes,5,136,2
Beagle,2,Small,No,Healthy,"Calm, Friendly, Anxious",No,Yes,2,83,2
Husky,77,Large,Yes,Healthy,"Affectionate, Calm, Playful",Yes,Yes,0,91,2
Bulldog,21,Small,No,Healthy,"Aggressive, Friendly, Shy",No,No,1,497,1
Golden Retriever,64,Tiny,Yes,Serious Injury,"Playful, Aggressive, Friendly",Yes,No,1,385,0
Poodle,111,Large,No,Healthy,"Playful, Independent, Anxious",Yes,Yes,5,51,2
Beagle,11,Medium,Yes,Healthy,"Shy, Playful, Aggressive",Yes,Yes,4,236,3
Australian Shepherd,33,XL,Yes,Serious Injury,"Affectionate, Anxious, Shy",No,Yes,3,121,0
Beagle,41,Large,Yes,Minor Injury,"Shy, Aggressive, Independent",Yes,Yes,2,233,1
Golden Retriever,51,Medium,Yes,Minor Injury,"Shy, Friendly, Calm",Yes,Yes,0,420,3
Beagle,76,Tiny,Yes,Healthy,"Affectionate, Friendly, Playful",Yes,Yes,0,65,2
Husky,32,Tiny,Yes,Healthy,"Independent, Shy, Friendly",Yes,Yes,5,105,3
Bulldog,92,Small,No,Healthy,"Friendly, Affectionate, Independent",Yes,Yes,3,180,3
Beagle,74,Medium,No,Healthy,"Shy, Aggressive, Independent",Yes,No,1,372,1
Mixed,2,Large,No,Minor Injury,"Shy, Affectionate, Aggressive",Yes,Yes,0,308,3
German Shepherd,105,Medium,Yes,Healthy,"Friendly, Playful, Independent",Yes,Yes,4,433,3
Bulldog,33,XL,Yes,Healthy,"Calm, Aggressive, Affectionate",Yes,Yes,4,135,2
Labrador,26,Medium,Yes,Healthy,"Aggressive, Anxious, Friendly",Yes,Yes,5,122,2
Beagle,66,Medium,No,Healthy,"Affectionate, Aggressive, Calm",Yes,No,5,378,2
Mixed,90,Small,No,Healthy,"Independent, Calm, Playful",Yes,Yes,5,141,3
German Shepherd,114,XL,Yes,Minor Injury,"Friendly, Shy, Anxious",No,Yes,1,125,0
German Shepherd,119,Small,Yes,Healthy,"Independent, Friendly, Shy",Yes,Yes,3,324,3
Bulldog,104,XL,Yes,Healthy,"Independent, Shy, Calm",Yes,No,2,336,1
Husky,67,Medium,Yes,Serious Injury,"Anxious, Aggressive, Shy",No,No,2,409,0
German Shepherd,9,Tiny,No,Healthy,"Friendly, Aggressive, Calm",No,No,5,92,2
German Shepherd,103,XL,No,Healthy,"Shy, Independent, Aggressive",No,Yes,0,389,0
Husky,76,Tiny,No,Healthy,"Aggressive, Affectionate, Calm",Yes,Yes,1,367,2
Bulldog,62,XL,Yes,Minor Injury,"Friendly, Shy, Playful",Yes,No,3,337,3
Poodle,111,XL,No,Healthy,"Independent, Friendly, Anxious",Yes,Yes,2,402,2
Beagle,7,Large,Yes,Minor Injury,"Anxious, Calm, Aggressive",Yes,Yes,2,103,2
Beagle,80,Medium,No,Minor Injury,"Shy, Affectionate, Independent",No,Yes,3,409,3
Golden Retriever,58,Large,No,Healthy,"Anxious, Independent, Aggressive",Yes,Yes,5,429,3
Poodle,3,Small,Yes,Healthy,"Independent, Playful, Friendly",Yes,Yes,0,207,3
Golden Retriever,106,Medium,No,Healthy,"Affectionate, Independent, Friendly",Yes,Yes,5,478,3
German Shepherd,82,Large,No,Healthy,"Playful, Anxious, Calm",No,Yes,5,31,2
Husky,87,Large,Yes,Healthy,"Playful, Shy, Calm",Yes,Yes,3,416,4
